id,tmdb_id,title,original_title,tagline,overview,runtime,budget,revenue,release_date,status,popularity,vote_average,vote_count,original_language,poster_path,backdrop_path,teaser_link,trailer_link,awards,is_active,user_ratings_count,streaming_platforms,cached_average_rating,homepage,spoken_languages,production_countries,belongs_to_collection,imdb_id
20678,714651,The Boys,소년들,There was no truth on that day,"In 1999, a robbery-murder case occurs in a small supermarket in Samnye, Jeonbuk province. The police investigation quickly narrows down to three boys from the neighborhood, and these boys are falsely accused of being murderers overnight and are imprisoned without understanding what is happening. The following year, veteran detective Hwang Joon-cheol is newly appointed as the head of Crime Investigation Division. He receives a tip about the real culprits and embarks on a reinvestigation to clear the boys' names. However, the interference of the detective responsible for the case at the time, Choi Woo-sung, leads to everything falling apart, and Hwang is demoted. Sixteen years later, the sole witness of the case and daughter of the victim, Yoon Mi-sook, and the boys return to Hwang, seeking justice...",124,0,0,2023-11-01,Released,3.748,6.5,8,,/rgyKMJkZfDdcfjfIPfNSgVJ7S44.jpg,/duTR9M0lggpLMLCd6guYBNBBOXu.jpg,,https://www.youtube.com/watch?v=l5huGvbai9w,[],1,0,[],,,[],[],[],
9521,1382867,Andromeda,Andrômeda,Film Noir,A young boxer begins an investigation to discover the whereabouts of his fighting partner,8,0,0,2024-11-06,Released,0.873,0.0,0,,/2bQUcFGsXHXT68dE6AoTVgtV25b.jpg,,,,[],1,0,[],,,[],[],[],
892,1396445,Be Forever Yamato Rebel 3199: Part 3: Ultramarine Asteroid,Be Forever Yamato Rebel 3199: Part 3: Ultramarine Asteroid,,Third part in the theatrical version of Be Forever Yamato Rebel 3199.,0,0,0,2025-04-11,In Production,0.457,0.0,0,,,,,,[],1,0,[],,,[],[],[],
370,1373985,DOORS,DOORS,,Film adaptation of the popular Roblox horror game 'DOORS'.,0,9000000,0,2025-10-21,Planned,1.681,0.0,0,,/wLBVvl6duN3YmGSQRYLFvryRmzV.jpg,,,,[],1,0,[],,,[],[],[],
8272,1390576,The Primordial Code - The Burning Essence,The Primordial Code - The Burning Essence,,"Documentary filmmaker Marijn Poels is in search of humanity's primal code. In the second part of his trilogy, he unravels the genetically embedded principles and instincts we have neglected through the ravages of time. A compelling and mind-boggling quest of how certain stories, frequencies, and intentional programs suppress our perceptions, and block our path to humanity.  Poels seeks a connection to the primal principles of nature, which are the key to understanding and reclaiming the inner light of who we are.",117,0,0,2024-11-15,Released,0.624,0.0,0,,/hj3rfnXvdTubJYPq00Gn4i8K5kq.jpg,/kkBJxhHdEvIwiS0jowyLltJdNxS.jpg,,https://www.youtube.com/watch?v=Xq_Xj3DsFQg,[],1,0,[],,,[],[],[],
24815,1149691,The Wait to Nowhere: When a Crisis Goes Untreated,The Wait to Nowhere: When a Crisis Goes Untreated,,"The Wait to Nowhere: When a Crisis Goes Untreated reveals an unspeakable reality: children living in the ER for days, weeks and even months at a time, awaiting dedicated care. This film explores the issue and touches on solutions. True stories are told by those living this nightmare, including hospitals that are caught up in a failed system, while lawmakers help lay out a plan to address the crisis before even more children’s lives are lost.",47,0,0,2023-07-08,Released,1.217,10.0,1,,/qu9DlJAnbyJ9dxXC0HkxOlQDeRX.jpg,,,,[],1,0,[],,,[],[],[],
13898,1131684,The Life Apart,La vita accanto,,"In Vicenza, a beautiful Italian art city, a young wealthy couple joyfully welcomes the birth of a long-awaited daughter in the early 1980s. But the child’s face is disfigured by a red birthmark that covers half her face. This spot haunts the mother to the point that she rejects her responsibilities as a mother. The child’s aunt, a famous concert pianist, takes over her education, thus discovering her exceptional musical talent.",100,0,0,2024-08-22,Released,2.269,5.7,29,,/3Ll7ODwVvNSusauWb4ysI6r3hcR.jpg,/a7QtKAp5znDBAbKeW01WhC9xg1k.jpg,,,[],1,0,[],,,[],[],[],
755,1175404,Doctor on Display: The USA Tour 1986-1988,Doctor on Display: The USA Tour 1986-1988,Here’s your chance to experience the DOCTOR ON DISPLAY!,"In 1986, BBC Enterprises organized the Doctor Who USA Tour, a two-year travelling exhibition of props and memorabilia from the program, showcased in a 48-foot trailer decorated with alien landscapes from the show, police box entrances, and a mock-up of the TARDIS interior. This documentary features footage from the events as well as interviews with participants and more.",50,0,0,2025-05-15,In Production,0.435,0.0,0,,/gR3raRmxbhsAGvf9wxeHLyCRHLK.jpg,/9UPkAwcvYetY5u8hm824gy4K4p.jpg,,,[],1,0,[],,,[],[],[],
27744,1190400,Alone Together,Alone Together,,"Nassdja is locked down during a raging pandemic with her brutish boyfriend Luke. With the hope of healing their fractured relationship, they flee to Luke's remote family cabin, but soon find they are not alone.",93,0,0,2023-10-13,Released,0.575,9.0,1,,/jsqQTi7dEqZsXrsG9zRcdO8K2jw.jpg,/x5lR7LbehWP8Ar4F3zJ0Fpl5iGW.jpg,,https://www.youtube.com/watch?v=OmNNxKPaMA0,[],1,0,[],,,[],[],[],
9748,1409650,Joan,Joan,,"A woman looks for her fiance on her wedding day. Based upon folklore and literature surrounding James Harris, the Daemon Lover, including “House Carpenter” broadsides and the work of Shirley Jackson and Elizabeth Bowen.",16,1000,0,2024-11-03,Released,0.795,0.0,0,,/5ny4VzycsyWkLnZpv3LfgTxeORR.jpg,/mfLwOg9tYuo1iiOJYNJ22yES783.jpg,,,[],1,0,[],,,[],[],[],
26691,1210584,The Dark Sisters,The Dark Sisters,,"Sisters Jorie and Kaidon attempt to reconnect over a vacation in the woods after a terrible secret drove them apart. But there is a hidden power in the forest that measures life and death, and this power means to weigh the sister's future against the dark crime from their past.",78,0,0,2023-03-28,Released,0.361,4.67,3,,/xWywYPwx5smrfN6mtdMLxCJtXO7.jpg,/3NJ9lkPDv0eegl7r4S5G4G85tDw.jpg,,https://www.youtube.com/watch?v=uRFBcVzAifo,[],1,0,[],,,[],[],[],
26334,1081922,Acústico MTV: Manu Gavassi canta Fruto Proibido,Acústico MTV: Manu Gavassi canta Fruto Proibido,,,60,0,0,2023-02-02,Released,0.436,1.0,2,,/fDwd883WiKc5UmEQBSyeStuCasz.jpg,/diHj4yHTA0Iwj3rJYfs1mxh9LqU.jpg,,,[],1,0,[],,,[],[],[],
21606,896250,The Cello,تشيللو,Music to die for.,An aspiring cellist learns the cost of his brand-new cello is a lot more insidious than he first thought.,120,17000000,5314,2023-09-14,Released,1.772,6.0,2,,/bsBZZKa70pGsP5iqWmMQaWg9lBa.jpg,/rr9XhC9VP9DR8CBrPCgRi8uiLfE.jpg,,https://www.youtube.com/watch?v=UodLaSLG_7k,[],1,0,[],,,[],[],[],
31541,1445302,Carabao Cup Final 2025,Carabao Cup Final 2025,,"The 2025 Carabao Cup final is the upcoming final match of the 2024–25 EFL Cup. It is to be played between Liverpool and Newcastle United at Wembley Stadium in London, England, on 16 March 2025.",120,0,0,2025-03-16,Released,2.000625,5.0,5,,/idI77qU1yZ8kbUfoHgndsgCJbYg.jpg,/vuQVJYSkrm5lApNtQxOcOtQwxy6.jpg,,,[],1,0,[],,,[],[],[],
1469,1312157,CrazyMinded,FolleMente,What are we hiding in our thoughts?,"How much do we really know about ourselves when we make a decision? What if there are multiple versions of our I within us, each with something to say?",97,8988900,14604876,2025-02-20,Released,9.275375,7.39,217,,/sPps037qCts9XDwCaS6j7JsNuEd.jpg,/zOOCJa8fhZz5ZM6tHR5ZCpXunwX.jpg,,,[],1,0,[],,,[],[],[],
29904,119429,Flesh Will Surrender,Il delitto di Giovanni Episcopo,,"Giovanni used to be a humble, mild-mannered government clerk whose life was turned upside down when he met Giulio, a notorious forger who at once set about manipulating the over-confident man. Giovanni did what he should never have done: he associated himself with the crook. Giulio soon laid hands on Giovanni's money, ruined his career and manhandled him into marrying his own mistress, the beautiful Ginevra. It was of course an unhappy marriage but Giovanni found a little solace when his son Ciro was born. Seven years later though, Wanzer resurfaced...",96,0,0,1947-09-27,Released,2.85,7.3,17,,/kgw69zBj4VCRGnC9Mw7AJkm4PHD.jpg,/50E46BSv6sg8rbEfwu7IDCBoNML.jpg,,,[],1,0,[],,,[],[],[],
24391,1184903,All the Way Back: Thoughts of a Hypnotist,All the Way Back: Thoughts of a Hypnotist,,"This film is a portrait of hypnotist and artist, Marcos Lutyens. It examines the idea of incorporating hypnotism into art through the filmmaker participating in a hypnotic induction.",16,2000,0,2023-09-25,Released,1.648,10.0,1,,/bIu9gQBK2NNYJAVojkxb7aI3BaE.jpg,/usPnVC3BB9RExkVFC9Ysh3QR4ne.jpg,,,[],1,0,[],,,[],[],[],
23489,1049137,Of Dreams in the Dream of Another Mirror,De songes au songe d’un autre miroir,,"The world is alive, but maybe without mirrors and images, none of it would exist. The blind create images in a different way – with sounds, textures and experiences. When you enter the rabbit hole, imagination plays the main part.",16,0,0,2023-02-20,Released,1.787,7.0,1,,/pRUl9D8NRrmYVSmaps05XB6el5v.jpg,,,,[],1,0,[],,,[],[],[],
15981,1118588,The Voice of the Sirens,La Voix des Sirènes,,"At the heart of the sea bed, between rocks and corals, primitive algae undulate, lulled by the muffled and roaring sound of the currents. Up there, on the surface of the water, something extraordinary has just appeared: a voice. So soft and seductive that it is unlike anything we have ever heard before.",20,0,0,2024-06-09,Released,0.406,6.5,4,,/lhBLpVaHvXoxrPFnMwc0JNWtGrm.jpg,,,,[],1,0,[],,,[],[],[],
25585,1138124,To Love Is To Grow,Amar es madurar,,The paths of a couple who'd dated for more than a decade diverge when Juan decides he wants to raise a family and Elizabeth focuses on her career.,98,0,0,2023-06-09,Released,1.162,4.7,6,,/pCV7eNGdVTYKOmc9zll7Hl9GEgX.jpg,/1b9nowNeSNI5cLJo69mejMluQHl.jpg,,,[],1,0,[],,,[],[],[],
26966,1174803,Eu Sou Maria,Eu Sou Maria,,The filme relates how a victory - winning a scholarship to an elite private school - may become an obstacle race for an impoverished young person.,95,0,0,2023-11-30,Released,0.776,5.4,4,,/gnlIchMogl6Y7eLbG1twmvxErc9.jpg,/wj0iE18CBijyLaLLxDjLaAH3IvY.jpg,,,[],1,0,[],,,[],[],[],
11165,1093971,Srikanth,श्रीकांत - आ रहा है सबकी आँखें खोलने,Story of a man whose vision inspired the world,"In a world with odds stacked against him in every step of the way, Srikanth defies norms, blazing a trail from rural India to becoming the first visually impaired student at MIT. As he builds Bollant Industries, his success brings challenges for which he would not only chase personal dreams but safeguard a shared future for the ones just like him. This is the tale of an entrepreneur's triumph and sacrifice, both which he welcomed with open arms and a smile.",134,0,0,2024-05-10,Released,3.4963749999999996,7.5,14,,/nkWF1jIMQqWZSShNTAdBUqrdFsZ.jpg,/pJEHHmz3pZqRBAXF5uv7rHcOMeO.jpg,,https://www.youtube.com/watch?v=OMeuJP5iBWY,[],1,0,[],,,[],[],[],
4795,1403501,Max Verstappen Simply Lovely,Max Verstappen Simply Lovely,,,0,0,0,2024-12-16,Released,1.025,5.0,3,,/bR7aB9JXGmLOmEQ8aWvS96buRfo.jpg,,,,[],1,0,[],,,[],[],[],
839,1399699,花まんま,花まんま,,,0,0,0,2025-04-25,In Production,0.557,0.0,0,,/ljbbecUEjv2DhzguswXnqW5VB3u.jpg,,,,[],1,0,[],,,[],[],[],
1338,1323008,My Beloved Stranger,知らないカノジョ,,"Riku Kambayashi was a university student, who wanted to become a novel writer. Minami Maezono was a university student, who wanted to become a singer. They fell in love at first sight and married while they were university students. Now, Riku has achieved his dream of becoming a bestselling writer, but Minami hasn’t achieved her dream of becoming a singer. Minami somehow feels disconnected from her husband, who is busy with his work. One day, a comment by Riku triggers a big argument between them. When Riku wakes up the next morning, he finds that Minami is nowhere to be found. He goes to the publisher for a meeting, but he figures out that he now works as an editor of a literary magazine. More surprisingly, Minami is active as a popular singer-songwriter. Riku is confused by everything that has changed, but he gets busy to get his life back.",0,0,0,,In Production,0.365,0.0,0,,/cH1m5Enl1FQrR0RQtKTHubiOvuG.jpg,/vbpb7b9uchu2lY5d5rizYElk7Pd.jpg,,,[],1,0,[],,,[],[],[],
16496,1317153,"Quem é Você, POA?","Quem é Você, POA?",,,0,0,0,2024-07-15,Released,0.427,10.0,1,,/5He8XyyABwNLG6ICEPWSllSRvxh.jpg,/miWP70rwcgH7AGvrdOUR6QEcMoj.jpg,,,[],1,0,[],,,[],[],[],
14227,1365950,Deadline,데드라인,,,85,0,0,2024-11-06,Released,0.6813750000000001,5.0,1,,/8f0mmAp1jlDmMfC3HM8k7MfnOlv.jpg,/jQfx3Z54aLPPXT4moGEupXeP47Y.jpg,,,[],1,0,[],,,[],[],[],
5601,1324890,A un paso de la soledad,A un paso de la soledad,,,0,9,0,2024-12-09,Released,1.167,0.0,0,,/uKkI4NpP9WvgtBqYOpDMPzrZrE9.jpg,/p2VbSW1bC4Dj4MdJkMAuMFmY6NA.jpg,,,[],1,0,[],,,[],[],[],
16718,1284963,Shook Branches,Shook Branches,,An art museum employee with a dark past finds his reality deteriorating while he is hunted down by a pair of ruthless hitmen.,26,0,0,2024-05-10,Released,0.461,10.0,1,,/5vgE6CCBusvDbOAAhUVEwOVZg1T.jpg,/vonNkJVKh3wDrV4BnLi805D0YPE.jpg,,https://www.youtube.com/watch?v=ipNJRHwGBrE,[],1,0,[],,,[],[],[],
4012,1407687,Eden,Éden,LET THERE BE LIGHT.,An afternoon at the beach. Nothing happens in this film.,3,0,0,2024-12-25,Released,0.787,0.0,0,,/ghmrRTX0BWyBxexUGJ7GKRjJMxg.jpg,,,,[],1,0,[],,,[],[],[],
19301,1064024,Locked In,Locked In,,"A kindly nurse tries to unlock the secrets of a coma patient's injuries — and discovers the bitter rivalry, infidelity, betrayal and murder behind them.",96,0,0,2023-11-01,Released,19.685,5.26,240,,/blQaj6biyBMLo34cuFKKwbgjIBz.jpg,/sBY1M68pNdR30EXJnP9s5V104cF.jpg,,https://www.youtube.com/watch?v=y6a3yXfMEJg,[],1,0,[],,,[],[],[],
26168,981729,Deiva Machan,தெய்வ மச்சான்,,"A youngster from a small town believes that his only responsibility in life is to find a suitable groom for his sister. However, when things fall into place, he is faced with an issue that he would have never expected in life.",131,0,0,2023-04-21,Released,0.976,4.0,1,,/kjnuXurwCmwuiKeN6kKVr3sSzPl.jpg,/hYd9LfjlPPqhRqSfQmlNmEwDWcF.jpg,,,[],1,0,[],,,[],[],[],
16479,1321519,Trouble in the Barbary,Trouble in the Barbary,Thomas Sankara's worst nightmare...,This film recounts the steps of Algerian communist revolutionary Rashid Al Masri and his personal war on Morocco and their president Buchra Abergel.,14,0,0,2024-07-23,Released,0.325,10.0,1,,/oXJgLkYMYfBl1PoQHpux15xAsa2.jpg,,,,[],1,0,[],,,[],[],[],
9614,1382118,Primavera Só Floreia em Terra Fértil,Primavera Só Floreia em Terra Fértil,,,0,0,0,2024-11-05,Released,0.359,0.0,0,,,,,,[],1,0,[],,,[],[],[],
6644,1103569,A Wakefulness of Indocility,Un Desvelo de Indocilidad,,"A candy taster with insomnia attempts to liberate her sexual impulses through a trip to her inner world. Her lost childhood exposed, she becomes the target of a subsistence-based cult whose goal is the irruption of intimacy.",0,18747,0,2024-12-01,Released,0.457,0.0,0,,/lOP3V3RI2gWzrDfxfWrx22Xj55Q.jpg,,,https://www.youtube.com/watch?v=yx-YJKpoWiM,[],1,0,[],,,[],[],[],
19744,1318668,500 Days of Escobar,500 Días de Escobar: la vertiginosa caída del capo,,The 500-day manhunt for Colombia's Pablo Escobar is detailed through interviews and archival images in this crime documentary.,77,0,0,2023-12-03,Released,17.639,8.2,4,,/AoEl04jghs9APnpBKzDg37nZQnc.jpg,/5z0rFwwX4wmyOCaEUA4fmnwt1QD.jpg,https://www.youtube.com/watch?v=TxH4Mbxrwj8,,[],1,0,[],,,[],[],[],
2845,1408578,Underground History,Underground History,,A documentary.,55,0,0,2025-01-13,Released,1.975,0.0,0,,,,,,[],1,0,[],,,[],[],[],
1229,1370264,Crazxy,Crazxy,,Abhimanyu Sood. Good surgeon. Bad father. Questionable human being. He is having the worst day of his life.,94,0,0,2025-02-28,Released,3.40925,6.0,1,,/qYzJl0a0JmiDagm2AOpgeD7LPmJ.jpg,/iDJ0ljbQsqld29cQXxQ76qT9dgT.jpg,,,[],1,0,[],,,[],[],[],
22806,1158475,Enter the Spider-Verse: A Spider-Man Special,Enter the Spider-Verse: A Spider-Man Special,,"With Spider-Man: Across the Spider-Verse swinging into cinemas this summer, join our team of celebrity Spidey fans as they look back on over 20 years of web-slinging Spider-Man movies.",30,0,0,2023-05-26,Released,2.404,7.7,3,,,/fRTO1UxgWpMB9bBAD9P3WzSDEdD.jpg,,,[],1,0,[],,,[],[],[],
17966,1249455,Absorción,Absorción,,The emotional decline of a person after being the host of an energetic parasite.,4,0,0,2024-01-29,Released,0.188,10.0,1,,/11Xv5Aym9xbGqkIL8KybzpMKtkL.jpg,,,,[],1,0,[],,,[],[],[],
